order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale
3912733,6/18/2022,Panipuri,Beverages,25,12,323,Online,Mrs.,Morning
13299720,12-03-2022,Sugarcane juice,Fastfood,20,6,52,Cash,Mrs.,Morning
7103326,9/24/2022,Aalopuri,Fastfood,20,10,161,Cash,Mr.,Midnight
16053925,9/29/2022,Frankie,Fastfood,20,3,35,Online,Mr.,Midnight
12650959,10-09-2022,Frankie,Beverages,40,6,91,Cash,Mrs.,Evening
11970508,10-03-2022,Panipuri,Beverages,60,1,79,Cash,Mrs.,Night
1816644,8/28/2022,Aalopuri,Fastfood,20,1,46,Online,Mrs.,Midnight
15403771,07-10-2022,Panipuri,Fastfood,25,14,509,Online,Mrs.,Evening
7359514,03-06-2023,Sugarcane juice,Beverages,25,13,391,Online,Mrs.,Midnight
13713307,08-02-2022,Vadapav,Fastfood,20,15,677,Cash,Mr.,Night
9167655,01-06-2023,Cold coffee,Beverages,40,5,223,Cash,Mrs.,Night
12223229,02-02-2023,Sugarcane juice,Beverages,25,10,197,Cash,Mrs.,Evening
4328573,4/26/2022,Aalopuri,Fastfood,20,2,35,Cash,Mrs.,Evening
9295662,4/21/2022,Aalopuri,Fastfood,20,5,60,Online,Mr.,Midnight
4222315,8/31/2022,Panipuri,Beverages,40,5,126,Online,Mrs.,Midnight
10125610,7/21/2022,Vadapav,Fastfood,20,5,79,Cash,Mr.,Evening
11029577,1/15/2023,Panipuri,Fastfood,60,11,241,,Mrs.,Morning
7357562,5/27/2022,Vadapav,Fastfood,20,6,35,Cash,Mrs.,Night
10299701,8/16/2022,Sugarcane juice,Fastfood,25,5,143,Online,Mr.,Evening
9603884,6/20/2022,Aalopuri,Fastfood,25,13,119,Online,Mrs.,Afternoon
697868,11/22/2022,Panipuri,Fastfood,25,8,367,Cash,Mrs.,Evening
2256687,05-05-2022,Frankie,Fastfood,60,10,226,Cash,Mrs.,Night
13360806,2/13/2023,Cold coffee,Beverages,60,13,512,,Mr.,Midnight
14337729,1/25/2023,Vadapav,Beverages,20,14,212,Cash,Mr.,Afternoon
14941106,1/25/2023,Aalopuri,Fastfood,20,3,31,,Mr.,Evening
11780457,12-10-2022,Aalopuri,Beverages,20,10,87,Online,Mrs.,Evening
6288799,01-11-2023,Aalopuri,Fastfood,20,9,270,Online,Mr.,Night
6871407,06-10-2022,Sugarcane juice,Beverages,25,2,52,Cash,Mr.,Night
7320973,08-07-2022,Frankie,Fastfood,20,9,361,Online,Mrs.,Midnight
3409097,3/25/2023,Sandwich,Fastfood,25,14,536,Online,Mr.,Midnight
9781048,12/24/2022,Vadapav,Fastfood,20,8,192,Online,Mr.,Evening
4389102,12-03-2022,Cold coffee,Beverages,60,12,296,Online,Mr.,Night
9790766,11/24/2022,Frankie,Beverages,60,4,329,Cash,Mrs.,Morning
9684462,11-01-2022,Panipuri,Fastfood,60,5,229,Cash,Mr.,Night
1954417,7/16/2022,Frankie,Fastfood,20,15,435,Cash,Mrs.,Midnight
7819043,12/31/2022,Sugarcane juice,Fastfood,20,4,143,Online,Mrs.,Morning
2088282,3/17/2023,Panipuri,Fastfood,20,2,57,Online,Mr.,Afternoon
6574863,05-08-2022,Sugarcane juice,Fastfood,20,9,179,Online,Mr.,Midnight
14391804,01-02-2023,Vadapav,Fastfood,20,2,91,Cash,Mrs.,Afternoon
16720115,11-06-2022,Panipuri,Beverages,40,5,369,Cash,Mrs.,Midnight
14917341,7/17/2022,Sugarcane juice,Fastfood,50,14,531,Online,Mrs.,Morning
5379257,10/30/2022,Cold coffee,Fastfood,40,12,724,Cash,Mrs.,Afternoon
9939883,12/30/2022,Sandwich,Beverages,50,9,368,,Mrs.,Morning
2721917,4/20/2022,Sandwich,Fastfood,40,2,108,Cash,Mr.,Night
15948532,10/18/2022,Cold coffee,Beverages,25,1,51,Online,Mr.,Midnight
3082887,3/16/2023,Sugarcane juice,Fastfood,20,12,575,Cash,Mrs.,Evening
7652021,06-11-2022,Frankie,Fastfood,40,5,268,Cash,Mrs.,Afternoon
13187052,12/25/2022,Vadapav,Fastfood,25,7,299,Cash,Mr.,Night
4985247,11-06-2022,Frankie,Fastfood,25,2,272,Online,Mrs.,Morning
1963615,12-10-2022,Cold coffee,Beverages,40,13,497,Cash,Mr.,Midnight
4880784,12/13/2022,Frankie,Fastfood,50,12,348,Cash,Mr.,Night
1426696,05-03-2022,Sugarcane juice,Fastfood,20,14,510,Cash,Mr.,Night
1747827,8/15/2022,Sugarcane juice,Beverages,50,1,29,Cash,Mrs.,Afternoon
8014123,10-02-2022,Cold coffee,Beverages,60,9,487,Online,Mr.,Morning
3651547,08-08-2022,Sugarcane juice,Fastfood,40,4,154,Cash,Mr.,Night
910333,03-04-2023,Vadapav,Fastfood,20,13,498,Online,Mrs.,Midnight
11475452,07-10-2022,Vadapav,Fastfood,20,7,192,Cash,Mrs.,Night
11305152,08-12-2022,Cold coffee,Fastfood,40,1,153,Cash,Mrs.,Morning
2004272,01-02-2023,Vadapav,Beverages,50,6,217,Online,Mr.,Evening
11293353,10/30/2022,Frankie,Fastfood,20,12,343,Cash,Mrs.,Night
11165932,10/28/2022,Sugarcane juice,Fastfood,50,11,427,Online,Mrs.,Afternoon
7571659,05-08-2022,Aalopuri,Fastfood,20,3,77,Online,Mrs.,Night
5911225,8/27/2022,Vadapav,Fastfood,20,8,254,Cash,Mrs.,Night
15280183,11-03-2022,Cold coffee,Beverages,20,15,349,Online,Mr.,Night
4240766,03-09-2023,Sugarcane juice,Fastfood,25,4,102,Online,Mrs.,Night
11565994,6/15/2022,Sugarcane juice,Fastfood,50,5,219,Cash,Mrs.,Evening
12002352,12/28/2022,Vadapav,Fastfood,25,11,467,Cash,Mr.,Morning
7457982,9/27/2022,Panipuri,Beverages,60,3,44,Cash,Mrs.,Night
4626450,01-02-2023,Sugarcane juice,Fastfood,20,5,130,Cash,Mrs.,Afternoon
16704544,1/15/2023,Panipuri,Beverages,40,14,716,Cash,Mr.,Night
15770797,05-09-2022,Aalopuri,Fastfood,20,4,36,Cash,Mr.,Afternoon
3423439,09-11-2022,Cold coffee,Beverages,25,8,180,Online,Mrs.,Midnight
79080,07-07-2022,Sandwich,Beverages,25,14,421,,Mrs.,Afternoon
1805535,5/21/2022,Panipuri,Beverages,60,2,59,Cash,Mrs.,Midnight
10060627,3/19/2023,Sugarcane juice,Beverages,25,13,603,Cash,Mrs.,Afternoon
12740360,02-04-2023,Sugarcane juice,Fastfood,20,8,438,Cash,Mrs.,Midnight
12594517,02-04-2023,Aalopuri,Fastfood,25,12,211,Cash,Mr.,Afternoon
3915105,07-10-2022,Aalopuri,Fastfood,20,9,38,Cash,Mrs.,Midnight
8926461,1/30/2023,Aalopuri,Fastfood,20,12,477,Cash,Mr.,Afternoon
942469,02-01-2023,Vadapav,Beverages,60,3,225,Cash,Mrs.,Evening
6112480,11/17/2022,Aalopuri,Fastfood,20,13,407,Cash,Mr.,Evening
6967734,5/27/2022,Panipuri,Fastfood,50,14,632,,Mr.,Midnight
2324279,4/27/2022,Cold coffee,Beverages,40,15,731,Online,Mr.,Morning
12140842,3/26/2023,Aalopuri,Fastfood,20,6,121,Online,Mrs.,Evening
10778885,6/14/2022,Aalopuri,Fastfood,25,15,781,Cash,Mrs.,Afternoon
4072606,12/21/2022,Sandwich,Fastfood,60,8,298,Online,Mrs.,Night
9557979,07-02-2022,Sandwich,Beverages,25,6,132,Cash,Mrs.,Midnight
7266032,11-02-2022,Frankie,Beverages,40,2,37,Cash,Mr.,Evening
15198703,06-02-2022,Frankie,Beverages,60,11,409,,Mrs.,Midnight
14910481,3/19/2023,Sugarcane juice,Beverages,20,6,104,Cash,Mrs.,Afternoon
1732629,7/26/2022,Frankie,Fastfood,20,13,407,Cash,Mr.,Afternoon
11017999,12/17/2022,Sugarcane juice,Fastfood,25,10,107,Cash,Mrs.,Evening
16113637,11-05-2022,Frankie,Fastfood,20,6,120,Cash,Mr.,Evening
15172872,2/16/2023,Panipuri,Fastfood,20,13,309,Online,Mr.,Midnight
12049611,5/26/2022,Sandwich,Fastfood,50,10,286,Online,Mrs.,Morning
10068227,3/15/2023,Vadapav,Beverages,50,11,339,Online,Mr.,Afternoon
12166190,10-05-2022,Frankie,Beverages,40,1,61,Cash,Mr.,Midnight
16472698,09-03-2022,Aalopuri,Fastfood,20,6,111,Cash,Mr.,Night
5830888,11-02-2022,Panipuri,Beverages,20,12,274,Cash,Mrs.,Morning
4627041,11/26/2022,Sandwich,Beverages,25,10,237,Cash,Mr.,Morning
12048843,12/26/2022,Vadapav,Beverages,50,13,227,Online,Mrs.,Midnight
9462317,6/30/2022,Sandwich,Fastfood,60,8,285,,Mr.,Night
8193934,12-04-2022,Cold coffee,Fastfood,40,13,587,Cash,Mr.,Evening
2718711,8/30/2022,Frankie,Fastfood,20,15,670,,Mrs.,Morning
10616415,07-12-2022,Sugarcane juice,Fastfood,60,2,197,Cash,Mrs.,Evening
13317709,09-05-2022,Sugarcane juice,Fastfood,20,9,408,Cash,Mrs.,Morning
7349856,03-02-2023,Aalopuri,Fastfood,20,13,172,Cash,Mr.,Afternoon
5900997,7/15/2022,Sugarcane juice,Fastfood,20,1,25,Online,Mrs.,Midnight
14368869,08-08-2022,Panipuri,Beverages,25,9,129,Online,Mr.,Morning
10639689,12/17/2022,Sugarcane juice,Fastfood,50,8,218,Online,Mrs.,Afternoon
9565702,02-02-2023,Sugarcane juice,Fastfood,20,11,149,Online,Mrs.,Evening
16672559,02-03-2023,Sugarcane juice,Fastfood,25,3,189,Online,Mrs.,Afternoon
9566256,03-04-2023,Aalopuri,Fastfood,20,2,97,Cash,Mr.,Afternoon
13167606,8/31/2022,Vadapav,Fastfood,20,13,302,Cash,Mr.,Midnight
3706110,6/13/2022,Panipuri,Beverages,40,10,414,Online,Mrs.,Afternoon
13630848,7/17/2022,Vadapav,Fastfood,20,11,186,Cash,Mr.,Afternoon
344252,6/17/2022,Aalopuri,Fastfood,20,15,764,Cash,Mr.,Midnight
6448388,2/15/2023,Panipuri,Fastfood,25,6,405,Online,Mr.,Afternoon
16471991,12/25/2022,Aalopuri,Fastfood,20,4,281,Online,Mr.,Evening
10161684,8/18/2022,Panipuri,Beverages,60,12,521,Cash,Mrs.,Evening
97515,1/23/2023,Cold coffee,Fastfood,40,15,900,Cash,Mrs.,Morning
9840928,10-02-2022,Sugarcane juice,Fastfood,50,8,429,Cash,Mr.,Afternoon
15190999,1/20/2023,Panipuri,Fastfood,20,9,182,Cash,Mrs.,Midnight
9141087,7/30/2022,Frankie,Fastfood,50,5,216,Cash,Mr.,Midnight
8410856,10-02-2022,Cold coffee,Fastfood,60,4,121,Cash,Mr.,Night
13316356,03-09-2023,Cold coffee,Fastfood,60,13,692,Cash,Mrs.,Evening
2816746,1/13/2023,Sugarcane juice,Fastfood,20,7,325,,Mr.,Evening
15954168,11/23/2022,Vadapav,Beverages,20,3,49,Online,Mr.,Afternoon
14423436,06-04-2022,Sugarcane juice,Beverages,40,11,263,Online,Mrs.,Afternoon
7272914,04-09-2022,Panipuri,Beverages,50,7,326,Online,Mrs.,Midnight
8356074,10-03-2022,Frankie,Fastfood,20,6,119,,Mrs.,Afternoon
1328479,4/29/2022,Sugarcane juice,Beverages,25,5,119,Cash,Mrs.,Night
11938484,8/13/2022,Sandwich,Fastfood,50,11,367,Cash,Mr.,Night
7299567,8/31/2022,Frankie,Beverages,20,3,79,Online,Mr.,Evening
16332497,10/21/2022,Panipuri,Fastfood,20,8,421,Online,Mr.,Evening
3718716,05-09-2022,Aalopuri,Fastfood,20,4,136,Cash,Mr.,Midnight
12936160,1/16/2023,Frankie,Beverages,40,9,232,Online,Mrs.,Midnight
3852359,6/24/2022,Aalopuri,Fastfood,20,1,29,Online,Mr.,Midnight
2495982,03-06-2023,Sugarcane juice,Beverages,40,10,530,Online,Mrs.,Morning
2129464,03-09-2023,Frankie,Fastfood,60,15,882,Online,Mr.,Evening
7182813,04-08-2022,Sugarcane juice,Beverages,25,14,211,Cash,Mr.,Night
12236052,04-09-2022,Vadapav,Fastfood,25,6,89,Online,Mrs.,Midnight
9502729,1/19/2023,Vadapav,Fastfood,20,14,602,Cash,Mr.,Afternoon
9832016,10/18/2022,Cold coffee,Beverages,50,12,349,Online,Mr.,Night
1093896,8/19/2022,Cold coffee,Beverages,40,3,300,Cash,Mr.,Night
6024216,8/28/2022,Aalopuri,Fastfood,20,12,326,Cash,Mr.,Midnight
15000001,05-04-2022,Panipuri,Fastfood,20,2,182,,Mrs.,Afternoon
4003713,9/27/2022,Panipuri,Fastfood,50,6,146,Cash,Mrs.,Morning
4993057,2/28/2023,Cold coffee,Fastfood,50,9,443,,Mrs.,Afternoon
6818368,7/27/2022,Panipuri,Beverages,25,15,607,,Mr.,Afternoon
6920795,05-06-2022,Panipuri,Beverages,60,5,362,Cash,Mrs.,Night
5916332,8/14/2022,Vadapav,Fastfood,25,2,34,Online,Mr.,Night
10637234,1/25/2023,Sandwich,Beverages,40,10,503,Cash,Mrs.,Morning
12937611,1/28/2023,Aalopuri,Beverages,20,14,362,Cash,Mr.,Midnight
7841897,6/28/2022,Aalopuri,Fastfood,20,7,68,Cash,Mrs.,Midnight
15150747,02-03-2023,Frankie,Beverages,20,12,330,Cash,Mrs.,Morning
15740024,7/19/2022,Frankie,Fastfood,40,13,657,Cash,Mr.,Midnight
11391038,5/21/2022,Cold coffee,Beverages,40,10,501,Cash,Mrs.,Midnight
14124626,3/25/2023,Aalopuri,Fastfood,25,6,53,Cash,Mr.,Afternoon
8196259,05-06-2022,Cold coffee,Fastfood,20,12,609,Cash,Mrs.,Morning
9963224,1/21/2023,Aalopuri,Fastfood,20,7,205,,Mrs.,Midnight
9889015,12-05-2022,Sandwich,Fastfood,50,13,328,Cash,Mrs.,Morning
4314777,09-11-2022,Sugarcane juice,Fastfood,50,14,668,Cash,Mrs.,Night
15098112,3/27/2023,Sandwich,Fastfood,20,5,51,Cash,Mr.,Morning
5750967,11/28/2022,Frankie,Beverages,25,4,254,Online,Mrs.,Midnight
1771779,06-07-2022,Frankie,Fastfood,60,14,701,Cash,Mr.,Midnight
7618699,6/25/2022,Frankie,Fastfood,40,6,590,,Mr.,Evening
2270768,04-10-2022,Cold coffee,Fastfood,20,7,307,Online,Mrs.,Night
6030401,10/16/2022,Cold coffee,Fastfood,60,4,289,Cash,Mrs.,Afternoon
9680811,8/22/2022,Sugarcane juice,Fastfood,20,6,85,Cash,Mr.,Morning
15964112,4/24/2022,Sandwich,Fastfood,60,13,447,Online,Mr.,Afternoon
12356274,3/15/2023,Panipuri,Fastfood,25,8,107,Online,Mr.,Evening
6091508,7/19/2022,Vadapav,Beverages,20,9,154,Cash,Mr.,Night
15288574,9/30/2022,Sugarcane juice,Fastfood,20,9,235,Online,Mr.,Afternoon
13948095,2/13/2023,Cold coffee,Fastfood,40,14,715,Cash,Mrs.,Midnight
16020335,3/30/2023,Cold coffee,Beverages,40,14,812,Online,Mrs.,Evening
15622286,03-02-2023,Cold coffee,Fastfood,60,1,65,Cash,Mr.,Morning
16526492,03-05-2023,Frankie,Fastfood,20,13,544,Online,Mr.,Afternoon
6683225,5/30/2022,Aalopuri,Fastfood,25,11,181,Online,Mr.,Evening
4154301,08-02-2022,Frankie,Fastfood,60,15,561,Cash,Mrs.,Midnight
831488,12-12-2022,Frankie,Fastfood,25,5,113,Online,Mr.,Afternoon
1769176,3/16/2023,Vadapav,Fastfood,20,6,351,Cash,Mr.,Night
2720828,7/16/2022,Sugarcane juice,Beverages,25,6,138,,Mrs.,Afternoon
11603496,5/17/2022,Sandwich,Fastfood,25,4,223,Online,Mr.,Midnight
7177201,04-04-2022,Cold coffee,Fastfood,40,8,475,Online,Mr.,Night
11514001,12/14/2022,Aalopuri,Fastfood,20,15,631,Cash,Mr.,Midnight
12628297,5/25/2022,Sandwich,Beverages,50,6,121,Online,Mr.,Midnight
11333733,05-08-2022,Sandwich,Beverages,40,15,797,Cash,Mr.,Evening
12526923,8/15/2022,Sandwich,Fastfood,60,2,130,Cash,Mr.,Afternoon
11344708,1/20/2023,Sugarcane juice,Fastfood,20,4,151,Online,Mr.,Morning
14156620,10/23/2022,Vadapav,Fastfood,20,8,43,Online,Mrs.,Evening
16382782,2/27/2023,Aalopuri,Fastfood,20,4,100,,Mr.,Morning
467462,12-01-2022,Panipuri,Fastfood,25,15,774,Cash,Mr.,Night
2742917,03-09-2023,Sugarcane juice,Beverages,60,13,286,Cash,Mr.,Afternoon
15367670,12/25/2022,Sugarcane juice,Fastfood,20,11,500,Online,Mrs.,Evening
581687,12/16/2022,Sandwich,Fastfood,40,3,109,Online,Mrs.,Afternoon
11868221,04-01-2022,Cold coffee,Beverages,40,4,261,Online,Mr.,Afternoon
3599049,3/26/2023,Sandwich,Fastfood,25,13,466,Cash,Mr.,Evening
4017756,10-02-2022,Aalopuri,Beverages,20,6,170,Online,Mr.,Evening
10669701,09-12-2022,Aalopuri,Fastfood,20,12,99,Cash,Mr.,Morning
14019483,06-01-2022,Frankie,Fastfood,50,1,26,Online,Mr.,Midnight
14490421,6/17/2022,Frankie,Fastfood,60,2,61,Online,Mrs.,Night
8103539,07-06-2022,Sugarcane juice,Fastfood,60,12,402,Cash,Mrs.,Morning
7881479,02-01-2023,Panipuri,Fastfood,60,8,318,Cash,Mrs.,Afternoon
15172574,3/29/2023,Sugarcane juice,Fastfood,20,11,456,Cash,Mr.,Night
2928930,05-09-2022,Sandwich,Beverages,40,10,346,Online,Mr.,Morning
8041755,7/21/2022,Panipuri,Beverages,20,4,45,Cash,Mrs.,Evening
13653838,4/30/2022,Panipuri,Beverages,50,15,387,,Mr.,Morning
16121353,08-09-2022,Sandwich,Fastfood,25,7,239,Online,Mr.,Evening
1266743,12-04-2022,Sandwich,Beverages,50,11,560,Cash,Mrs.,Afternoon
15746740,03-01-2023,Panipuri,Fastfood,40,10,192,Cash,Mrs.,Midnight
14099688,7/19/2022,Cold coffee,Fastfood,20,2,216,Cash,Mrs.,Afternoon
10694099,02-06-2023,Panipuri,Beverages,60,14,309,Cash,Mrs.,Evening
3883219,12-07-2022,Sugarcane juice,Fastfood,25,6,108,Cash,Mrs.,Night
2692204,3/19/2023,Aalopuri,Fastfood,20,4,86,Cash,Mrs.,Afternoon
2937200,8/22/2022,Sandwich,Beverages,60,15,674,Online,Mr.,Afternoon
14345777,12/25/2022,Cold coffee,Beverages,40,5,120,Cash,Mrs.,Midnight
1845294,3/16/2023,Vadapav,Fastfood,60,2,87,Online,Mrs.,Midnight
4289545,4/26/2022,Sugarcane juice,Fastfood,50,1,94,,Mr.,Night
126876,4/23/2022,Panipuri,Beverages,25,14,414,Cash,Mrs.,Afternoon
13967560,01-03-2023,Vadapav,Fastfood,25,5,224,Online,Mrs.,Morning
299824,1/27/2023,Cold coffee,Fastfood,40,5,189,Online,Mr.,Morning
13858295,10/31/2022,Aalopuri,Fastfood,20,8,208,,Mr.,Midnight
1365439,04-04-2022,Cold coffee,Beverages,40,8,240,Online,Mr.,Morning
6261397,11/17/2022,Frankie,Beverages,50,10,553,Online,Mrs.,Morning
2229752,01-03-2023,Panipuri,Beverages,25,2,140,Cash,Mrs.,Night
6779518,7/22/2022,Sandwich,Fastfood,50,9,454,Cash,Mr.,Morning
13379658,1/21/2023,Aalopuri,Fastfood,20,2,51,Cash,Mr.,Morning
4128623,11-05-2022,Cold coffee,Fastfood,40,11,841,Cash,Mr.,Afternoon
2317321,5/13/2022,Aalopuri,Fastfood,20,9,100,Cash,Mrs.,Midnight
10361389,08-10-2022,Cold coffee,Beverages,50,12,485,Cash,Mrs.,Evening
5537926,07-06-2022,Frankie,Fastfood,25,12,433,,Mrs.,Midnight
7702804,10/21/2022,Vadapav,Fastfood,20,4,114,,Mr.,Night
14231832,4/20/2022,Frankie,Fastfood,25,13,536,Online,Mrs.,Midnight
2734697,2/13/2023,Cold coffee,Beverages,40,6,656,Online,Mr.,Afternoon
8937449,11/22/2022,Sandwich,Beverages,60,4,225,Cash,Mrs.,Evening
14489762,04-09-2022,Sandwich,Fastfood,40,15,523,Online,Mrs.,Midnight
388141,08-05-2022,Vadapav,Fastfood,20,3,28,Cash,Mr.,Midnight
12734393,8/21/2022,Sugarcane juice,Fastfood,40,10,262,Online,Mrs.,Evening
9251599,12/19/2022,Vadapav,Fastfood,20,6,137,Cash,Mrs.,Afternoon
4768191,06-10-2022,Cold coffee,Beverages,60,2,57,Cash,Mrs.,Midnight
13209957,08-03-2022,Aalopuri,Fastfood,50,5,79,Online,Mrs.,Evening
14357640,7/24/2022,Frankie,Beverages,20,13,386,Online,Mr.,Evening
6871939,5/28/2022,Panipuri,Fastfood,20,9,142,Cash,Mr.,Afternoon
15478396,01-04-2023,Vadapav,Fastfood,20,5,82,Cash,Mr.,Evening
1690745,06-10-2022,Sandwich,Fastfood,60,8,243,Cash,Mr.,Evening
12833893,01-03-2023,Aalopuri,Fastfood,20,3,68,Online,Mr.,Afternoon
12736648,3/19/2023,Panipuri,Beverages,20,11,395,Cash,Mrs.,Morning
5754262,9/18/2022,Vadapav,Fastfood,20,7,113,Online,Mr.,Midnight
7347980,5/13/2022,Cold coffee,Fastfood,20,14,187,Online,Mrs.,Night
2211538,1/22/2023,Panipuri,Fastfood,25,9,114,Online,Mrs.,Morning
16042473,03-05-2023,Aalopuri,Fastfood,20,12,414,Online,Mrs.,Night
14622316,10-11-2022,Aalopuri,Fastfood,20,15,422,Online,Mr.,Evening
4390926,01-12-2023,Sugarcane juice,Fastfood,25,14,287,Cash,Mr.,Morning
15603974,11/26/2022,Aalopuri,Fastfood,20,4,47,Cash,Mr.,Evening
9034281,7/27/2022,Cold coffee,Beverages,50,7,410,Cash,Mrs.,Afternoon
4448611,8/26/2022,Panipuri,Fastfood,50,3,40,Cash,Mrs.,Afternoon
15631206,02-07-2023,Sandwich,Fastfood,25,14,595,Online,Mr.,Midnight
1232740,06-06-2022,Frankie,Beverages,20,1,48,Cash,Mrs.,Midnight
16402097,05-03-2022,Aalopuri,Fastfood,20,2,43,Cash,Mrs.,Morning
12491718,6/22/2022,Sandwich,Beverages,40,12,586,Cash,Mrs.,Evening
2668906,01-11-2023,Panipuri,Beverages,25,13,201,Cash,Mr.,Evening
8250964,1/24/2023,Frankie,Beverages,60,6,196,Cash,Mr.,Afternoon
7659945,1/24/2023,Sugarcane juice,Fastfood,60,12,554,Cash,Mrs.,Midnight
6689195,2/22/2023,Panipuri,Beverages,20,13,399,Online,Mr.,Midnight
2494607,4/18/2022,Vadapav,Fastfood,20,12,380,,Mr.,Midnight
15223084,3/19/2023,Aalopuri,Beverages,20,8,59,Cash,Mrs.,Night
3680477,06-05-2022,Frankie,Beverages,25,9,291,Cash,Mr.,Midnight
14868551,03-01-2023,Sugarcane juice,Fastfood,20,7,125,Cash,Mr.,Night
1552644,3/18/2023,Panipuri,Fastfood,20,8,76,Cash,Mrs.,Afternoon
1148747,9/17/2022,Panipuri,Beverages,20,10,180,Online,Mr.,Midnight
16565476,12-08-2022,Cold coffee,Beverages,40,4,361,Cash,Mr.,Evening
2998534,03-02-2023,Cold coffee,Fastfood,40,12,240,Cash,Mr.,Afternoon
16351581,1/16/2023,Frankie,Beverages,60,10,288,Online,Mr.,Night
791528,4/14/2022,Aalopuri,Fastfood,20,11,152,Cash,Mrs.,Afternoon
733262,9/29/2022,Sandwich,Fastfood,25,13,492,,Mrs.,Night
8229811,1/18/2023,Cold coffee,Beverages,40,13,617,Cash,Mr.,Morning
6589449,6/20/2022,Sandwich,Beverages,40,2,44,,Mr.,Evening
6412146,02-08-2023,Sugarcane juice,Fastfood,25,10,492,Online,Mr.,Night
4866696,4/27/2022,Sugarcane juice,Beverages,50,8,445,Cash,Mr.,Night
14514567,8/15/2022,Panipuri,Beverages,40,9,168,Online,Mrs.,Night
9180983,10/14/2022,Sandwich,Fastfood,60,12,341,Cash,Mrs.,Afternoon
7529140,10-08-2022,Panipuri,Fastfood,50,9,337,Cash,Mrs.,Morning
4182744,05-05-2022,Frankie,Fastfood,25,9,152,Online,Mr.,Afternoon
1940299,1/16/2023,Vadapav,Fastfood,20,13,625,Online,Mr.,Afternoon
3924742,7/31/2022,Frankie,Beverages,40,6,294,Online,Mrs.,Evening
7061470,1/22/2023,Sugarcane juice,Fastfood,20,7,102,Cash,Mrs.,Morning
11434996,7/25/2022,Vadapav,Beverages,60,12,304,Cash,Mrs.,Night
9158741,6/25/2022,Panipuri,Beverages,60,2,81,Cash,Mr.,Midnight
1129020,3/18/2023,Aalopuri,Fastfood,20,4,30,Cash,Mr.,Evening
9831654,1/17/2023,Vadapav,Fastfood,20,3,42,Online,Mrs.,Evening
3013290,5/20/2022,Vadapav,Fastfood,20,15,397,Online,Mrs.,Morning
9133342,03-05-2023,Aalopuri,Fastfood,20,4,67,Online,Mrs.,Afternoon
3489102,01-04-2023,Cold coffee,Beverages,40,8,370,Online,Mrs.,Midnight
4321009,1/23/2023,Sandwich,Fastfood,40,3,178,Online,Mr.,Afternoon
13714204,8/14/2022,Aalopuri,Fastfood,20,11,376,Cash,Mr.,Afternoon
16383784,6/25/2022,Cold coffee,Fastfood,60,14,769,,Mrs.,Midnight
11087476,5/26/2022,Cold coffee,Beverages,40,11,371,Cash,Mrs.,Night
13688601,11/23/2022,Vadapav,Fastfood,20,13,307,,Mr.,Morning
14251149,10/20/2022,Panipuri,Beverages,25,13,463,Cash,Mrs.,Evening
10374510,1/27/2023,Sugarcane juice,Beverages,20,6,215,,Mr.,Midnight
8335758,3/19/2023,Frankie,Fastfood,20,8,166,,Mrs.,Morning
4383057,8/28/2022,Frankie,Fastfood,25,12,434,Cash,Mr.,Morning
6607735,09-11-2022,Cold coffee,Beverages,40,4,219,Online,Mrs.,Night
15023894,09-11-2022,Vadapav,Beverages,25,10,164,,Mr.,Morning
14349762,02-03-2023,Frankie,Fastfood,50,9,716,Online,Mr.,Afternoon
3293398,8/22/2022,Sandwich,Beverages,50,15,698,Online,Mrs.,Afternoon
570405,08-02-2022,Vadapav,Beverages,20,12,210,Cash,Mr.,Night
8120617,8/20/2022,Cold coffee,Fastfood,40,15,825,Online,Mrs.,Night
16468230,09-09-2022,Panipuri,Fastfood,40,7,218,Online,Mr.,Night
7501062,11/29/2022,Frankie,Fastfood,20,4,68,Cash,Mrs.,Evening
11202037,10-11-2022,Cold coffee,Fastfood,40,3,253,Cash,Mrs.,Midnight
12764325,10-09-2022,Panipuri,Fastfood,20,8,248,Online,Mr.,Evening
15989623,8/31/2022,Cold coffee,Fastfood,60,1,151,Online,Mrs.,Evening
6164063,04-01-2022,Vadapav,Beverages,25,13,151,Online,Mr.,Evening
15350700,10/20/2022,Vadapav,Fastfood,20,4,76,,Mr.,Midnight
3622454,11/17/2022,Cold coffee,Beverages,40,3,381,Online,Mr.,Evening
2370147,5/15/2022,Vadapav,Fastfood,25,10,401,Online,Mrs.,Evening
10598863,04-05-2022,Vadapav,Fastfood,20,10,598,Cash,Mrs.,Evening
8031807,06-09-2022,Frankie,Fastfood,50,9,566,Online,Mrs.,Midnight
5262273,7/27/2022,Vadapav,Fastfood,20,7,198,Cash,Mrs.,Afternoon
9981687,01-03-2023,Cold coffee,Fastfood,25,10,340,Online,Mrs.,Evening
8558422,6/27/2022,Frankie,Fastfood,20,12,602,Online,Mrs.,Midnight
11151820,01-02-2023,Sugarcane juice,Fastfood,20,13,709,Cash,Mrs.,Midnight
13812458,07-04-2022,Aalopuri,Fastfood,20,2,91,Cash,Mrs.,Morning
14220627,5/23/2022,Panipuri,Fastfood,50,7,172,Online,Mrs.,Morning
6800436,06-06-2022,Vadapav,Fastfood,20,8,185,Online,Mrs.,Night
