date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale
01-06-2023,Frankie,Beverages,25,9,355,Online,Mr.,Night
05-10-2022,Vadapav,Fastfood,60,6,175,Online,Mr.,Morning
12/17/2022,Panipuri,Fastfood,60,9,365,Online,Mrs.,Evening
05-03-2022,Aalopuri,Fastfood,20,8,106,Online,Mr.,Evening
1/28/2023,Sugarcane juice,Fastfood,20,8,428,Cash,Mr.,Midnight
8/24/2022,Vadapav,Beverages,20,7,165,Online,Mrs.,Afternoon
6/19/2022,Cold coffee,Fastfood,20,10,539,Cash,Mr.,Midnight
5/28/2022,Cold coffee,Beverages,40,8,543,Online,Mrs.,Night
6/30/2022,Panipuri,Fastfood,25,11,106,Online,Mr.,Midnight
10/19/2022,Panipuri,Fastfood,25,12,568,Online,Mr.,Morning
1/13/2023,Cold coffee,Fastfood,60,3,173,Online,Mr.,Midnight
10/19/2022,Vadapav,Fastfood,20,4,77,Cash,Mrs.,Afternoon
6/16/2022,Vadapav,Fastfood,50,13,465,Online,Mr.,Night
7/17/2022,Cold coffee,Beverages,40,3,134,Online,Mr.,Afternoon
12-04-2022,Aalopuri,Fastfood,20,7,236,Online,Mr.,Midnight
9/18/2022,Sandwich,Fastfood,50,8,251,Cash,Mrs.,Evening
12-01-2022,Vadapav,Fastfood,20,14,566,Cash,Mrs.,Afternoon
11-06-2022,Cold coffee,Beverages,40,6,429,Online,Mr.,Midnight
05-03-2022,Sandwich,Fastfood,20,14,462,Cash,Mr.,Midnight
2/13/2023,Cold coffee,Fastfood,40,3,372,Online,Mrs.,Evening
02-01-2023,Panipuri,Fastfood,20,14,761,Cash,Mrs.,Midnight
07-06-2022,Panipuri,Fastfood,25,7,571,Online,Mr.,Afternoon
11/17/2022,Aalopuri,Fastfood,20,15,477,Cash,Mr.,Midnight
02-05-2023,Vadapav,Fastfood,20,5,167,Cash,Mrs.,Afternoon
01-05-2023,Panipuri,Fastfood,50,10,437,Online,Mrs.,Morning
1/27/2023,Frankie,Fastfood,25,12,350,Cash,Mrs.,Evening
07-02-2022,Panipuri,Fastfood,20,15,590,Cash,Mrs.,Afternoon
05-06-2022,Sugarcane juice,Fastfood,20,6,209,Online,Mr.,Night
05-07-2022,Sandwich,Beverages,20,14,618,Cash,Mrs.,Morning
6/22/2022,Vadapav,Fastfood,20,14,501,Cash,Mr.,Afternoon
02-08-2023,Aalopuri,Fastfood,20,10,134,Online,Mr.,Afternoon
12/17/2022,Cold coffee,Beverages,40,11,658,Online,Mrs.,Night
11/20/2022,Cold coffee,Fastfood,40,6,224,Cash,Mr.,Evening
12-12-2022,Sugarcane juice,Beverages,20,14,177,Cash,Mr.,Midnight
11-09-2022,Sandwich,Fastfood,25,7,253,Cash,Mr.,Morning
09-12-2022,Frankie,Beverages,50,13,227,Cash,Mrs.,Night
01-11-2023,Cold coffee,Beverages,40,10,465,Cash,Mrs.,Midnight
12-10-2022,Panipuri,Fastfood,20,12,288,Online,Mr.,Evening
05-09-2022,Sandwich,Fastfood,25,10,406,Online,Mr.,Afternoon
04-09-2022,Aalopuri,Fastfood,20,3,46,Online,Mrs.,Midnight
03-09-2023,Sugarcane juice,Fastfood,60,12,339,Online,Mrs.,Morning
8/21/2022,Frankie,Fastfood,60,4,422,Online,Mrs.,Night
8/22/2022,Aalopuri,Fastfood,20,6,231,Cash,Mrs.,Afternoon
10-09-2022,Cold coffee,Beverages,40,2,184,Online,Mrs.,Night
04-04-2022,Cold coffee,Fastfood,40,5,289,Cash,Mr.,Midnight
8/14/2022,Cold coffee,Beverages,40,13,522,Cash,Mr.,Night
12/22/2022,Cold coffee,Fastfood,60,12,386,Cash,Mrs.,Night
4/20/2022,Sandwich,Fastfood,60,11,469,Cash,Mr.,Night
6/13/2022,Cold coffee,Fastfood,60,10,463,Cash,Mr.,Morning
01-01-2023,Aalopuri,Fastfood,20,5,79,Cash,Mr.,Afternoon
08-10-2022,Frankie,Beverages,25,12,359,Cash,Mr.,Morning
11/17/2022,Cold coffee,Fastfood,60,2,275,Online,Mr.,Night
10/16/2022,Sandwich,Beverages,60,6,228,Online,Mr.,Morning
03-01-2023,Vadapav,Fastfood,25,5,232,Online,Mr.,Evening
6/13/2022,Sandwich,Beverages,25,14,602,Cash,Mr.,Midnight
04-07-2022,Frankie,Fastfood,60,4,360,Cash,Mr.,Evening
7/31/2022,Aalopuri,Beverages,20,2,49,Online,Mr.,Afternoon
11/17/2022,Sugarcane juice,Fastfood,20,10,128,Online,Mr.,Evening
7/17/2022,Panipuri,Beverages,25,1,44,Cash,Mr.,Midnight
08-05-2022,Sugarcane juice,Fastfood,25,3,54,Cash,Mrs.,Night
6/27/2022,Sandwich,Beverages,40,2,156,Cash,Mrs.,Afternoon
05-08-2022,Aalopuri,Fastfood,20,9,108,Online,Mrs.,Evening
5/28/2022,Sugarcane juice,Fastfood,20,14,371,Online,Mr.,Afternoon
06-09-2022,Panipuri,Fastfood,20,7,86,Online,Mr.,Morning
5/21/2022,Aalopuri,Beverages,20,4,49,Cash,Mrs.,Afternoon
10/23/2022,Aalopuri,Fastfood,20,3,47,Online,Mrs.,Midnight
11-12-2022,Panipuri,Fastfood,20,13,589,Online,Mr.,Night
07-08-2022,Sugarcane juice,Fastfood,20,12,197,Online,Mrs.,Afternoon
05-04-2022,Cold coffee,Beverages,40,5,231,Cash,Mrs.,Morning
1/30/2023,Cold coffee,Beverages,20,4,300,Cash,Mr.,Night
02-07-2023,Sandwich,Fastfood,40,13,594,Cash,Mrs.,Midnight
03-05-2023,Sugarcane juice,Fastfood,25,8,218,Online,Mr.,Evening
12/27/2022,Aalopuri,Fastfood,20,10,267,Cash,Mrs.,Midnight
12/25/2022,Panipuri,Fastfood,50,2,94,Online,Mr.,Night
5/24/2022,Vadapav,Beverages,20,14,178,Online,Mr.,Morning
7/27/2022,Cold coffee,Beverages,60,10,689,Online,Mr.,Evening
05-02-2022,Cold coffee,Beverages,40,4,249,Online,Mr.,Night
2/13/2023,Panipuri,Fastfood,20,14,611,Cash,Mr.,Afternoon
02-05-2023,Cold coffee,Fastfood,60,4,245,Cash,Mr.,Evening
1/21/2023,Sandwich,Beverages,50,10,170,Online,Mrs.,Evening
10-10-2022,Vadapav,Fastfood,50,7,138,Cash,Mrs.,Midnight
8/14/2022,Panipuri,Fastfood,20,11,518,Cash,Mr.,Afternoon
1/20/2023,Aalopuri,Fastfood,20,9,80,Online,Mrs.,Evening
12-04-2022,Sandwich,Fastfood,25,12,468,Online,Mrs.,Midnight
8/15/2022,Frankie,Beverages,20,14,544,Cash,Mr.,Afternoon
3/18/2023,Sandwich,Beverages,40,10,353,Online,Mr.,Midnight
09-04-2022,Panipuri,Beverages,60,12,510,Cash,Mr.,Evening
12/21/2022,Frankie,Fastfood,20,6,103,Cash,Mr.,Midnight
02-03-2023,Panipuri,Beverages,20,3,52,Online,Mr.,Morning
1/31/2023,Panipuri,Fastfood,20,8,283,Online,Mrs.,Evening
02-05-2023,Sandwich,Fastfood,60,3,254,Online,Mrs.,Afternoon
10/24/2022,Cold coffee,Beverages,40,8,332,Online,Mrs.,Morning
10-11-2022,Aalopuri,Beverages,20,10,68,Cash,Mrs.,Midnight
6/24/2022,Cold coffee,Beverages,40,10,434,Cash,Mr.,Afternoon
07-12-2022,Sandwich,Beverages,40,2,184,Cash,Mr.,Midnight
10-04-2022,Sugarcane juice,Fastfood,25,4,490,Online,Mr.,Night
09-04-2022,Aalopuri,Fastfood,20,8,171,Cash,Mr.,Midnight
12/22/2022,Cold coffee,Fastfood,20,14,380,Cash,Mr.,Morning
6/13/2022,Sandwich,Beverages,50,7,162,Online,Mrs.,Night
9/19/2022,Sandwich,Beverages,25,8,163,Cash,Mrs.,Night
07-04-2022,Sugarcane juice,Fastfood,20,9,108,Online,Mr.,Evening
2/16/2023,Cold coffee,Beverages,25,8,383,Online,Mrs.,Midnight
12-09-2022,Vadapav,Fastfood,20,11,276,Online,Mrs.,Midnight
01-04-2023,Sugarcane juice,Beverages,20,3,88,Online,Mr.,Afternoon
07-04-2022,Sandwich,Beverages,60,9,429,Online,Mrs.,Night
05-06-2022,Aalopuri,Fastfood,20,11,84,Online,Mrs.,Night
11-12-2022,Aalopuri,Fastfood,20,10,89,Online,Mrs.,Evening
4/25/2022,Cold coffee,Beverages,40,8,644,Cash,Mrs.,Afternoon
5/22/2022,Panipuri,Fastfood,20,15,620,Online,Mrs.,Morning
11-10-2022,Panipuri,Fastfood,50,7,132,Online,Mr.,Morning
12/26/2022,Cold coffee,Beverages,40,11,430,Cash,Mr.,Morning
8/14/2022,Aalopuri,Fastfood,20,9,93,Online,Mr.,Night
12/29/2022,Vadapav,Beverages,50,4,42,Online,Mrs.,Night
01-06-2023,Sugarcane juice,Fastfood,20,11,365,Cash,Mr.,Afternoon
4/26/2022,Frankie,Fastfood,25,9,402,Cash,Mrs.,Night
10/18/2022,Frankie,Fastfood,50,5,423,Online,Mr.,Afternoon
07-04-2022,Vadapav,Fastfood,25,10,336,Online,Mrs.,Afternoon
10/21/2022,Aalopuri,Fastfood,20,14,427,Cash,Mrs.,Evening
8/15/2022,Panipuri,Fastfood,60,14,676,Online,Mrs.,Evening
8/13/2022,Vadapav,Beverages,50,9,272,Cash,Mr.,Afternoon
8/14/2022,Vadapav,Beverages,20,12,210,Cash,Mr.,Morning
11-08-2022,Sandwich,Beverages,40,8,397,Cash,Mr.,Night
3/15/2023,Vadapav,Fastfood,20,5,183,Cash,Mr.,Morning
08-09-2022,Frankie,Beverages,20,7,116,Online,Mrs.,Morning
6/25/2022,Aalopuri,Fastfood,20,7,81,Online,Mrs.,Evening
5/18/2022,Sandwich,Beverages,60,13,538,Online,Mr.,Afternoon
6/19/2022,Sandwich,Fastfood,20,13,355,Cash,Mrs.,Night
05-04-2022,Cold coffee,Beverages,40,8,299,Online,Mrs.,Night
09-05-2022,Frankie,Beverages,60,8,312,Cash,Mr.,Afternoon
01-05-2023,Sandwich,Fastfood,40,11,341,Cash,Mrs.,Night
05-06-2022,Vadapav,Fastfood,25,15,733,Cash,Mrs.,Midnight
2/24/2023,Sandwich,Fastfood,40,8,431,Online,Mrs.,Afternoon
5/15/2022,Sandwich,Fastfood,25,14,590,Cash,Mrs.,Afternoon
4/17/2022,Aalopuri,Fastfood,20,13,183,Cash,Mr.,Midnight
05-04-2022,Vadapav,Fastfood,20,8,189,Cash,Mr.,Morning
2/22/2023,Sugarcane juice,Fastfood,50,5,276,Cash,Mrs.,Afternoon
10-03-2022,Sugarcane juice,Fastfood,25,1,128,Online,Mrs.,Night
3/23/2023,Frankie,Fastfood,25,9,427,Online,Mrs.,Midnight
8/31/2022,Aalopuri,Fastfood,25,9,209,Online,Mrs.,Evening
12-10-2022,Aalopuri,Fastfood,20,13,583,Online,Mrs.,Afternoon
12-12-2022,Frankie,Fastfood,20,5,104,Cash,Mr.,Evening
2/21/2023,Aalopuri,Fastfood,20,10,96,Cash,Mrs.,Morning
9/21/2022,Vadapav,Fastfood,20,4,59,Cash,Mr.,Evening
5/15/2022,Sugarcane juice,Beverages,25,14,431,Cash,Mrs.,Evening
07-04-2022,Panipuri,Beverages,25,14,648,Online,Mr.,Night
3/26/2023,Sugarcane juice,Fastfood,20,4,66,Cash,Mrs.,Night
10-08-2022,Sandwich,Fastfood,40,1,87,Online,Mrs.,Evening
4/20/2022,Sandwich,Beverages,20,7,250,Cash,Mrs.,Morning
5/14/2022,Sandwich,Fastfood,60,4,125,Online,Mr.,Afternoon
1/23/2023,Vadapav,Fastfood,20,8,165,Cash,Mrs.,Evening
09-10-2022,Sugarcane juice,Fastfood,50,9,254,Cash,Mr.,Morning
01-02-2023,Sugarcane juice,Fastfood,20,3,93,Cash,Mr.,Night
09-08-2022,Aalopuri,Fastfood,50,9,162,Online,Mrs.,Morning
10-08-2022,Sandwich,Beverages,40,15,678,Online,Mrs.,Morning
11/18/2022,Sandwich,Fastfood,60,8,188,Online,Mrs.,Afternoon
05-12-2022,Aalopuri,Fastfood,20,15,398,Cash,Mr.,Morning
6/27/2022,Sugarcane juice,Fastfood,60,12,518,Online,Mr.,Midnight
10-01-2022,Frankie,Fastfood,20,7,440,Online,Mr.,Morning
06-09-2022,Aalopuri,Fastfood,20,12,332,Online,Mrs.,Afternoon
2/24/2023,Sugarcane juice,Fastfood,20,2,44,Online,Mr.,Morning
12/22/2022,Panipuri,Fastfood,60,5,323,Online,Mrs.,Night
12/29/2022,Vadapav,Fastfood,20,9,187,Online,Mr.,Afternoon
08-05-2022,Aalopuri,Fastfood,20,14,656,Cash,Mrs.,Midnight
10/26/2022,Panipuri,Fastfood,50,11,488,Online,Mrs.,Morning
12-12-2022,Sugarcane juice,Fastfood,20,7,383,Online,Mr.,Night
2/13/2023,Sugarcane juice,Fastfood,20,10,282,Cash,Mr.,Evening
7/20/2022,Aalopuri,Fastfood,20,7,144,Online,Mr.,Evening
07-11-2022,Aalopuri,Fastfood,20,7,191,Online,Mrs.,Afternoon
11/30/2022,Sugarcane juice,Fastfood,50,2,89,Cash,Mrs.,Midnight
5/13/2022,Cold coffee,Fastfood,40,12,623,Online,Mr.,Midnight
5/29/2022,Panipuri,Fastfood,50,13,426,Online,Mrs.,Midnight
5/26/2022,Sandwich,Fastfood,25,6,328,Cash,Mr.,Afternoon
12/30/2022,Sugarcane juice,Fastfood,50,3,113,Online,Mrs.,Evening
10-08-2022,Sandwich,Beverages,40,2,81,Online,Mrs.,Afternoon
01-11-2023,Frankie,Fastfood,60,5,270,Online,Mrs.,Night
8/22/2022,Vadapav,Beverages,50,5,181,Online,Mrs.,Morning
1/15/2023,Aalopuri,Fastfood,20,13,415,Cash,Mr.,Night
3/19/2023,Vadapav,Beverages,20,5,164,Online,Mr.,Evening
8/13/2022,Aalopuri,Fastfood,20,14,292,Online,Mrs.,Morning
5/28/2022,Aalopuri,Fastfood,20,8,61,Cash,Mrs.,Afternoon
10/29/2022,Cold coffee,Beverages,60,3,79,Online,Mr.,Evening
1/24/2023,Sugarcane juice,Beverages,60,12,170,Cash,Mr.,Morning
10-01-2022,Panipuri,Fastfood,25,13,670,Online,Mr.,Night
02-04-2023,Vadapav,Fastfood,20,13,547,Cash,Mr.,Afternoon
8/27/2022,Panipuri,Fastfood,25,12,454,Cash,Mrs.,Midnight
08-07-2022,Panipuri,Fastfood,60,7,453,Online,Mr.,Midnight
8/20/2022,Panipuri,Fastfood,50,2,82,Online,Mr.,Evening
6/25/2022,Sandwich,Fastfood,40,12,691,Cash,Mr.,Night
12/15/2022,Aalopuri,Fastfood,20,10,189,Cash,Mrs.,Night
02-05-2023,Aalopuri,Fastfood,20,6,302,Online,Mrs.,Afternoon
06-06-2022,Panipuri,Fastfood,20,3,54,Cash,Mr.,Night
6/30/2022,Panipuri,Beverages,20,11,185,Cash,Mrs.,Morning
10/28/2022,Aalopuri,Fastfood,20,12,341,Cash,Mr.,Morning
7/27/2022,Panipuri,Fastfood,50,7,145,Cash,Mrs.,Night
08-12-2022,Cold coffee,Beverages,25,9,277,Online,Mrs.,Afternoon
12/26/2022,Cold coffee,Fastfood,40,3,309,Cash,Mrs.,Afternoon
12-02-2022,Cold coffee,Beverages,40,9,258,Cash,Mr.,Midnight
5/20/2022,Sandwich,Fastfood,60,11,397,Cash,Mrs.,Night
11/15/2022,Sandwich,Fastfood,60,9,467,Cash,Mr.,Evening
8/28/2022,Vadapav,Fastfood,20,4,131,Cash,Mrs.,Evening
1/28/2023,Panipuri,Beverages,20,11,456,Cash,Mrs.,Afternoon
09-08-2022,Frankie,Beverages,20,8,193,Online,Mr.,Evening
10/14/2022,Sugarcane juice,Fastfood,20,14,599,Online,Mr.,Midnight
01-01-2023,Frankie,Fastfood,25,1,41,Cash,Mrs.,Midnight
05-03-2022,Frankie,Beverages,40,15,750,Online,Mrs.,Morning
11/23/2022,Panipuri,Fastfood,20,15,311,Cash,Mr.,Night
12/13/2022,Aalopuri,Fastfood,20,11,123,Online,Mr.,Morning
10-07-2022,Cold coffee,Fastfood,40,12,663,Online,Mrs.,Afternoon
3/19/2023,Panipuri,Beverages,60,3,199,Online,Mrs.,Midnight
12-05-2022,Cold coffee,Fastfood,40,5,100,Cash,Mrs.,Night
2/14/2023,Cold coffee,Fastfood,25,4,78,Cash,Mrs.,Morning
11-02-2022,Cold coffee,Fastfood,60,6,302,Online,Mr.,Afternoon
9/16/2022,Cold coffee,Fastfood,40,10,517,Online,Mr.,Night
8/14/2022,Sugarcane juice,Beverages,50,13,371,Online,Mrs.,Afternoon
01-07-2023,Frankie,Fastfood,40,12,432,Cash,Mr.,Morning
09-05-2022,Aalopuri,Fastfood,20,10,84,Cash,Mrs.,Morning
8/31/2022,Cold coffee,Fastfood,60,4,186,Cash,Mr.,Morning
8/17/2022,Frankie,Fastfood,25,14,656,Online,Mrs.,Morning
12/13/2022,Aalopuri,Fastfood,20,6,110,Online,Mr.,Morning
12/28/2022,Sandwich,Beverages,40,7,277,Online,Mrs.,Night
03-10-2023,Cold coffee,Beverages,60,14,560,Cash,Mrs.,Afternoon
4/21/2022,Aalopuri,Fastfood,20,6,108,Cash,Mrs.,Evening
11-12-2022,Panipuri,Fastfood,60,14,583,Online,Mr.,Morning
4/16/2022,Vadapav,Fastfood,20,11,189,Online,Mrs.,Midnight
11/21/2022,Aalopuri,Fastfood,20,14,194,Online,Mr.,Midnight
11/27/2022,Sugarcane juice,Fastfood,20,5,105,Cash,Mr.,Afternoon
06-10-2022,Sugarcane juice,Beverages,20,7,98,Cash,Mrs.,Midnight
5/14/2022,Panipuri,Beverages,25,3,34,Cash,Mr.,Midnight
2/23/2023,Panipuri,Beverages,60,8,280,Cash,Mr.,Night
12/14/2022,Aalopuri,Fastfood,20,2,88,Online,Mr.,Morning
08-04-2022,Cold coffee,Beverages,60,1,73,Online,Mr.,Morning
4/27/2022,Sugarcane juice,Fastfood,50,15,633,Online,Mrs.,Evening
9/17/2022,Aalopuri,Beverages,50,11,241,Online,Mr.,Morning
8/18/2022,Aalopuri,Beverages,20,6,76,Online,Mr.,Night
9/28/2022,Sugarcane juice,Beverages,20,3,49,Online,Mr.,Afternoon
8/14/2022,Aalopuri,Fastfood,60,5,202,Online,Mr.,Night
11/27/2022,Vadapav,Fastfood,20,8,124,Online,Mr.,Evening
3/25/2023,Cold coffee,Fastfood,60,12,232,Cash,Mr.,Morning
6/25/2022,Panipuri,Fastfood,20,8,248,Online,Mrs.,Afternoon
5/15/2022,Aalopuri,Fastfood,20,15,525,Online,Mr.,Evening
10/18/2022,Aalopuri,Fastfood,20,3,69,Online,Mrs.,Midnight
11-06-2022,Frankie,Fastfood,20,4,174,Online,Mr.,Evening
7/21/2022,Aalopuri,Fastfood,20,11,105,Cash,Mrs.,Morning
9/14/2022,Sandwich,Fastfood,50,5,202,Online,Mrs.,Night
02-05-2023,Vadapav,Fastfood,20,8,184,Online,Mr.,Afternoon
4/24/2022,Sugarcane juice,Fastfood,20,13,560,Cash,Mrs.,Morning
10/22/2022,Sandwich,Fastfood,60,13,556,Cash,Mrs.,Afternoon
10-05-2022,Frankie,Beverages,50,5,157,Online,Mr.,Midnight
12/29/2022,Sandwich,Beverages,40,14,531,Cash,Mr.,Evening
11-08-2022,Aalopuri,Beverages,20,13,224,Cash,Mr.,Midnight
2/22/2023,Aalopuri,Fastfood,20,11,484,Cash,Mr.,Afternoon
1/23/2023,Vadapav,Fastfood,20,5,63,Cash,Mr.,Midnight
05-11-2022,Cold coffee,Fastfood,25,13,658,Online,Mr.,Afternoon
3/20/2023,Sandwich,Fastfood,60,6,69,Cash,Mr.,Night
11-03-2022,Vadapav,Beverages,50,15,422,Cash,Mrs.,Morning
10/31/2022,Aalopuri,Beverages,20,6,116,Cash,Mrs.,Evening
08-09-2022,Vadapav,Fastfood,50,7,124,Online,Mr.,Evening
11-08-2022,Aalopuri,Fastfood,20,3,162,Online,Mr.,Evening
9/14/2022,Sugarcane juice,Fastfood,20,9,359,Cash,Mr.,Morning
02-05-2023,Cold coffee,Fastfood,50,7,281,Cash,Mr.,Midnight
7/21/2022,Sugarcane juice,Fastfood,20,2,91,Online,Mrs.,Morning
9/25/2022,Sandwich,Beverages,50,3,195,Cash,Mr.,Afternoon
05-12-2022,Aalopuri,Fastfood,20,11,316,Cash,Mr.,Night
12/29/2022,Panipuri,Fastfood,20,1,39,Cash,Mrs.,Morning
2/27/2023,Vadapav,Beverages,25,2,28,Cash,Mr.,Morning
08-10-2022,Sandwich,Fastfood,40,14,301,Online,Mrs.,Morning
2/22/2023,Cold coffee,Fastfood,40,4,357,Online,Mr.,Afternoon
7/17/2022,Vadapav,Fastfood,20,11,240,Online,Mr.,Morning
09-11-2022,Aalopuri,Fastfood,20,11,423,Cash,Mrs.,Midnight
12/14/2022,Sandwich,Fastfood,20,12,343,Cash,Mrs.,Night
04-10-2022,Sugarcane juice,Fastfood,60,2,83,Online,Mrs.,Evening
12-10-2022,Panipuri,Fastfood,60,3,81,Online,Mrs.,Midnight
03-10-2023,Sugarcane juice,Fastfood,20,12,591,Online,Mr.,Midnight
12/29/2022,Frankie,Fastfood,60,4,137,Online,Mr.,Evening
01-12-2023,Sandwich,Fastfood,40,3,155,Cash,Mr.,Evening
9/27/2022,Sandwich,Beverages,25,7,142,Cash,Mrs.,Morning
6/13/2022,Vadapav,Fastfood,20,2,30,Cash,Mrs.,Morning
09-03-2022,Frankie,Fastfood,40,4,283,Online,Mrs.,Morning
10-09-2022,Sandwich,Fastfood,40,14,757,Online,Mrs.,Morning
12/25/2022,Panipuri,Fastfood,60,9,225,Cash,Mrs.,Midnight
6/26/2022,Panipuri,Beverages,50,12,304,Online,Mr.,Evening
11-11-2022,Frankie,Fastfood,40,13,385,Cash,Mrs.,Midnight
03-09-2023,Cold coffee,Beverages,40,8,495,Online,Mr.,Afternoon
10/20/2022,Aalopuri,Fastfood,20,14,609,Cash,Mrs.,Morning
09-08-2022,Frankie,Fastfood,50,14,702,Cash,Mr.,Night
8/17/2022,Panipuri,Fastfood,20,13,363,Cash,Mrs.,Afternoon
7/26/2022,Sandwich,Fastfood,60,9,249,Online,Mr.,Evening
12-07-2022,Aalopuri,Fastfood,20,15,578,Online,Mrs.,Midnight
10-04-2022,Panipuri,Fastfood,20,13,364,Cash,Mrs.,Evening
12-03-2022,Vadapav,Fastfood,20,15,596,Cash,Mr.,Afternoon
03-08-2023,Cold coffee,Fastfood,40,12,650,Online,Mrs.,Morning
8/31/2022,Frankie,Fastfood,50,2,84,Online,Mr.,Morning
9/25/2022,Sugarcane juice,Fastfood,25,12,234,Online,Mr.,Night
10/26/2022,Vadapav,Beverages,50,12,381,Cash,Mrs.,Evening
1/29/2023,Panipuri,Fastfood,25,14,490,Cash,Mr.,Afternoon
03-10-2023,Aalopuri,Fastfood,20,4,79,Cash,Mr.,Morning
02-03-2023,Vadapav,Fastfood,20,12,483,Cash,Mrs.,Evening
6/18/2022,Sugarcane juice,Fastfood,20,8,151,Online,Mr.,Evening
4/26/2022,Vadapav,Fastfood,20,10,291,Cash,Mrs.,Midnight
12/28/2022,Sugarcane juice,Fastfood,20,5,31,Online,Mr.,Night
07-08-2022,Frankie,Fastfood,20,7,130,Cash,Mr.,Night
1/13/2023,Sugarcane juice,Beverages,20,10,204,Online,Mrs.,Night
04-04-2022,Sugarcane juice,Beverages,25,2,62,Cash,Mr.,Night
02-09-2023,Cold coffee,Beverages,40,2,288,Online,Mrs.,Midnight
6/13/2022,Vadapav,Fastfood,20,9,393,Cash,Mrs.,Midnight
12-11-2022,Panipuri,Fastfood,20,6,102,Cash,Mr.,Morning
9/16/2022,Sandwich,Fastfood,20,15,764,Online,Mrs.,Night
9/20/2022,Sugarcane juice,Fastfood,20,4,297,Cash,Mrs.,Night
12/27/2022,Sandwich,Fastfood,40,3,166,Cash,Mr.,Evening
8/14/2022,Cold coffee,Beverages,25,6,52,Cash,Mr.,Midnight
3/19/2023,Panipuri,Fastfood,20,9,426,Online,Mrs.,Afternoon
10-07-2022,Vadapav,Beverages,20,4,64,Online,Mr.,Evening
8/13/2022,Aalopuri,Fastfood,25,15,612,Online,Mrs.,Morning
05-07-2022,Vadapav,Fastfood,50,12,592,Online,Mrs.,Night
08-09-2022,Cold coffee,Fastfood,40,9,418,Cash,Mrs.,Midnight
05-09-2022,Frankie,Fastfood,40,5,542,Online,Mrs.,Midnight
03-09-2023,Vadapav,Fastfood,25,11,181,Online,Mr.,Afternoon
7/21/2022,Panipuri,Beverages,50,5,157,Online,Mrs.,Morning
07-02-2022,Frankie,Fastfood,25,12,342,Cash,Mrs.,Night
11/18/2022,Aalopuri,Fastfood,20,4,80,Online,Mr.,Night
11/29/2022,Frankie,Fastfood,50,11,609,Cash,Mrs.,Afternoon
10-08-2022,Frankie,Beverages,50,9,179,Online,Mr.,Night
10/15/2022,Panipuri,Beverages,60,6,127,Online,Mr.,Evening
5/23/2022,Frankie,Fastfood,25,15,640,Online,Mr.,Midnight
1/16/2023,Cold coffee,Beverages,40,2,69,Online,Mr.,Morning
04-08-2022,Cold coffee,Beverages,60,14,398,Online,Mrs.,Morning
11-05-2022,Vadapav,Fastfood,20,14,416,Cash,Mr.,Morning
5/24/2022,Vadapav,Beverages,20,11,175,Online,Mrs.,Evening
12/16/2022,Frankie,Beverages,60,14,703,Cash,Mr.,Evening
12/14/2022,Sandwich,Beverages,40,8,516,Cash,Mr.,Midnight
5/18/2022,Frankie,Fastfood,60,10,505,Online,Mrs.,Afternoon
5/29/2022,Sandwich,Beverages,25,13,461,Online,Mrs.,Afternoon
1/22/2023,Aalopuri,Fastfood,20,12,164,Cash,Mrs.,Evening
5/23/2022,Sandwich,Beverages,60,4,255,Online,Mr.,Evening
1/14/2023,Panipuri,Beverages,40,3,222,Online,Mr.,Evening
12-09-2022,Frankie,Fastfood,50,12,325,Online,Mrs.,Evening
01-06-2023,Aalopuri,Fastfood,20,14,314,Online,Mrs.,Morning
03-03-2023,Cold coffee,Fastfood,40,7,306,Cash,Mrs.,Evening
4/23/2022,Aalopuri,Fastfood,20,12,226,Online,Mrs.,Evening
09-08-2022,Frankie,Fastfood,20,7,282,Cash,Mr.,Afternoon
02-03-2023,Panipuri,Fastfood,20,15,725,Cash,Mr.,Morning
5/18/2022,Cold coffee,Beverages,40,13,554,Online,Mr.,Night
03-02-2023,Cold coffee,Beverages,40,13,683,Online,Mr.,Midnight
8/20/2022,Cold coffee,Beverages,40,6,221,Cash,Mr.,Morning
5/25/2022,Sandwich,Fastfood,40,13,535,Cash,Mrs.,Afternoon
9/25/2022,Cold coffee,Beverages,40,10,624,Online,Mr.,Evening
8/25/2022,Sandwich,Fastfood,50,15,666,Cash,Mr.,Midnight
3/17/2023,Sugarcane juice,Fastfood,20,2,91,Online,Mrs.,Afternoon
6/17/2022,Aalopuri,Beverages,20,8,104,Online,Mrs.,Evening
10-08-2022,Aalopuri,Fastfood,25,4,161,Online,Mr.,Night
10/22/2022,Panipuri,Fastfood,20,8,158,Cash,Mr.,Morning
05-05-2022,Panipuri,Fastfood,20,3,85,Online,Mr.,Afternoon
12/21/2022,Sugarcane juice,Beverages,20,11,289,Online,Mr.,Afternoon
8/17/2022,Panipuri,Beverages,20,14,332,Cash,Mr.,Morning
02-10-2023,Sugarcane juice,Beverages,20,5,107,Cash,Mrs.,Midnight
10-08-2022,Frankie,Fastfood,60,6,279,Cash,Mr.,Afternoon
9/14/2022,Cold coffee,Beverages,60,5,89,Cash,Mr.,Evening
11-10-2022,Panipuri,Fastfood,50,10,343,Cash,Mr.,Morning
4/16/2022,Cold coffee,Fastfood,50,4,320,Online,Mr.,Night
11-08-2022,Vadapav,Fastfood,20,9,378,Online,Mrs.,Morning
3/30/2023,Vadapav,Fastfood,20,10,94,Cash,Mr.,Midnight
